Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl,uniprot,summary,chr,start,end,width,strand,ncbi_alias,ensembl_alias,gc_content,hgnc_id,omim,ccds,reactome,ucsc,mirbase_id,cell_marker
148398,SAMD11,sterile alpha motif domain containing 11,protein_coding,28.8072913698229,0.0301783664385765,0.343180932814693,0.0879371886749659,0.929926598793352,0.966713732049224,ENSG00000187634,Q96NU1; I7FC38; I7F489; I7FV97; I7F491; A0A087X1J5; A0A087WXB3; A0A087X223; I7G285; H7C3J6; Q5SV95; A0A087WX24; A0A087WYU3; A0A087WU74; H7BY14; A0A087WYW1; I7G293; I7FV93; I7F475; I7G101; I7FC29; I7FV88; I7G283; I7F465; I7FC44; I7G100; I7G291; I7G277; I7G276; I7FC33; I7FV95; I7FV85; I7FC47; I7G279; I7F482; I7FC27; I7F478; I7FC51; I7G103; I7G0Z8; I7G105; I7FV90; I7G289; I7F472; I7FC40; I7F467,"Predicted to enable several functions, including histone binding activity; protein domain specific binding activity; and protein self-association. Predicted to be involved in negative regulation of transcription, DNA-templated. Predicted to act upstream of or within negative regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",1,923923,944575,20653,1,MRS,MGC45873,66.59,HGNC:28706,616765,CCDS90834; CCDS90833; ; CCDS2,,uc031pkk.3; uc057axu.2; uc057axt.1; uc001abw.3; uc031pkg.3; uc031pjt.3; uc031pju.3; uc031pkh.3; uc031pkm.3; uc057axw.1; uc031pko.2; uc057axx.1; uc057axy.1; uc057axz.1; uc057aya.1,,
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,protein_coding,116.843943877734,-0.175426801918828,0.158170732517922,-1.10909773967792,0.267388019891272,0.470915723786496,ENSG00000188976,Q9Y3T9,"Histone modification by histone acetyltransferases (HAT) and histone deacetylases (HDAC) can control major aspects of transcriptional regulation. NOC2L represents a novel HDAC-independent inhibitor of histone acetyltransferase (INHAT) (Hublitz et al., 2005 [PubMed 16322561]).[supplied by OMIM, Mar 2008]",1,944203,959309,15107,-1,NET15; NET7; NIR; PPP1R112,DKFZP564C186; NET15; NET7; NIR; PPP1R112,59.54,HGNC:24517,610770,CCDS3,R-HSA-212436; R-HSA-73857; R-HSA-74160; R-HSA-3700989; R-HSA-5633007; R-HSA-6804756,uc001abz.6; uc057ayb.1; uc057ayc.1; uc057ayd.1; uc057aye.1; uc057ayf.1,,Fetal kidney|T|Natural killer T (NKT) cell; Fetal kidney|N|Natural killer T (NKT) cell
339451,KLHL17,kelch like family member 17,protein_coding,15.5077520197717,0.556759408618752,0.285479248574729,1.95026227439789,0.0511448667047849,0.165527481974589,ENSG00000187961,Q6TDP4; Q0VGE6; J3QLT4; Q86XA8,"The protein encoded by this gene is expressed in neurons of most regions of the brain. It contains an N-terminal BTB domain, which mediates dimerization of the protein, and a C-terminal Kelch domain, which mediates binding to F-actin. This protein may play a key role in the regulation of actin-based neuronal function. [provided by RefSeq, Aug 2010]",1,960584,965719,5136,1,AF,,67.87,HGNC:24023,619262,CCDS30550,,uc001aca.4; uc001acb.2; uc057ayh.1; uc057ayi.1,,
57801,HES4,hes family bHLH transcription factor 4,protein_coding,22.8300573697285,-0.64029698610914,0.425083283551184,-1.50628597003402,0.131993778188995,0.303766248239487,ENSG00000188290,Q9HCC6; D6REB3; E9PB28,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in anterior/posterior pattern specification and regulation of transcription by RNA polymerase II. Predicted to be part of chromatin. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",1,998962,1000172,1211,-1,bHLHb42,BHLHB42,74.32,HGNC:24149,608060,CCDS44034; CCDS5; ; CCDS90837,,uc010nyc.1; uc001aci.4; uc057ayo.1; uc057ayp.1,,Embryonic prefrontal cortex|T|Astrocyte; Liver|T|Mesenchymal cell; Embryonic prefrontal cortex|N|Astrocyte; Liver|N|Mesenchymal cell
9636,ISG15,ISG15 ubiquitin like modifier,protein_coding,67.6988255933211,1.63972930061265,0.459699262684103,3.56696091057132,0.000361145327130176,0.00626072735035394,ENSG00000187608,P05161; A0A096LNZ9; A0A096LPJ4,"The protein encoded by this gene is a ubiquitin-like protein that is conjugated to intracellular target proteins upon activation by interferon-alpha and interferon-beta. Several functions have been ascribed to the encoded protein, including chemotactic activity towards neutrophils, direction of ligated target proteins to intermediate filaments, cell-to-cell signaling, and antiviral activity during viral infections. While conjugates of this protein have been found to be noncovalently attached to intermediate filaments, this protein is sometimes secreted. [provided by RefSeq, Dec 2012]",1,1001138,1014540,13403,1,G1P2; IFI15; IMD38; IP17; UCRP; hUCRP,G1P2; IFI15; UCRP,56.44,HGNC:4053,147571,CCDS6,R-HSA-1643685; R-HSA-168249; R-HSA-168256; R-HSA-5663205; R-HSA-73894; R-HSA-168928; R-HSA-9679506; R-HSA-9824446; R-HSA-168255; R-HSA-9694516; R-HSA-9705671; R-HSA-9705683; R-HSA-1280215; R-HSA-110313; R-HSA-73893; R-HSA-936440; R-HSA-913531; R-HSA-1169408; R-HSA-1169410; R-HSA-168276; R-HSA-5656169; R-HSA-909733; R-HSA-9833482,uc057ayq.2; uc057ayr.1; uc285fxc.1,,Liver|T|Regulatory T (Treg) cell; Esophagus|T|Secretory progenitor cell; Fetal gonad|T|Mitotic arrest phase fetal germ cell; Blood|T|CD1C-CD141- dendritic cell; Fetal kidney|T|Natural killer T (NKT) cell; Liver|T|Regulatory T (Treg) cell; Esophagus|N|Secretory progenitor cell; Fetal gonad|N|Mitotic arrest phase fetal germ cell; Blood|N|CD1C-CD141- dendritic cell; Fetal kidney|N|Natural killer T (NKT) cell
375790,AGRN,agrin,protein_coding,350.777861907912,-0.0494196498396029,0.284448203816015,-0.173738660243284,0.862070853067025,0.930819299054888,ENSG00000188157,O00468; Q5XG79; Q15952; A0A494C1I6; A0A087X208; A0A494C0G5; Q96QF8; Q96QF9,"This gene encodes one of several proteins that are critical in the development of the neuromuscular junction (NMJ), as identified in mouse knock-out studies. The encoded protein contains several laminin G, Kazal type serine protease inhibitor, and epidermal growth factor domains. Additional post-translational modifications occur to add glycosaminoglycans and disulfide bonds. In one family with congenital myasthenic syndrome affecting limb-girdle muscles, a mutation in this gene was found. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Mar 2015]",1,1020120,1056118,35999,1,AGRIN; CMS8; CMSPPD,AGRIN,65.71,HGNC:329,103320,CCDS30551,R-HSA-1643685; R-HSA-3781865; R-HSA-5668914; R-HSA-5663205; R-HSA-1430728; R-HSA-1266738; R-HSA-9675108; R-HSA-1630316; R-HSA-1638091; R-HSA-2022928; R-HSA-71387; R-HSA-422475; R-HSA-196854; R-HSA-9679506; R-HSA-9824446; R-HSA-9694516; R-HSA-1474244; R-HSA-216083; R-HSA-3000178; R-HSA-375165; R-HSA-419037; R-HSA-9709957; R-HSA-1793185; R-HSA-2024096; R-HSA-1971475; R-HSA-3560782; R-HSA-3560783; R-HSA-3560801; R-HSA-4420332; R-HSA-2187338; R-HSA-3000171; R-HSA-6806667; R-HSA-975634; R-HSA-3656237; R-HSA-3656253; R-HSA-9694614; R-HSA-9772572,uc001ack.4; uc057ayt.1; uc287hbf.1; uc287isq.1; uc057ayv.1; uc057ayw.1; uc057ayx.1; uc057ayy.1; uc057ayz.1; uc057azb.1,,
54991,C1orf159,chromosome 1 open reading frame 159,protein_coding,20.3461636615277,0.294827992513673,0.213352155470537,1.38188429295896,0.167007231485324,0.34954354374875,ENSG00000131591,Q96HA4; B2REC4; Q5T2W7; J3KT48; J3QRL0; J3QKM1; Q5T2W9; J3KSJ6; J3QSF0; B2REC5,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",1,1081818,1116361,34544,-1,,FLJ20584,54.65,HGNC:26062,,CCDS81250; ; CCDS7; CCDS85917,,uc001act.3; uc057aze.1; uc001acu.4; uc057azf.1; uc057azg.1; uc057azh.1; uc057azi.1; uc057azj.1; uc001acn.3; uc057azk.1; uc057azl.1; uc057azm.1; uc057azn.1; uc057azo.1; uc057azp.1; uc057azq.1; uc057azr.1; uc057azs.1; uc057azt.1,,
51150,SDF4,stromal cell derived factor 4,protein_coding,270.295440709227,-0.0765198181102348,0.162010048522722,-0.472315259503813,0.636701780050554,0.789139627908659,ENSG00000078808,Q9BRK5; G3V1E2; H0Y3T6; A0A5F9UJX7; A0A5F9UP49,"This gene encodes a stromal cell derived factor that is a member of the CREC protein family. The encoded protein contains six EF-hand motifs and calcium-binding motifs. This protein localizes to the Golgi lumen and may be involved in regulating calcium dependent cellular activities. [provided by RefSeq, Sep 2011]",1,1216931,1232031,15101,-1,Cab45; SDF-4,CAB45,61.38,HGNC:24188,614282,CCDS30553; CCDS12,,uc001adh.7; uc001adi.6; uc057bab.1; uc001adg.4; uc057bac.1; uc057bad.1; uc057bae.1,,Liver|T|Regulatory T (Treg) cell; Fetal kidney|T|Natural killer T (NKT) cell; Liver|T|Regulatory T (Treg) cell; Fetal kidney|N|Natural killer T (NKT) cell
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",protein_coding,29.1066073213923,-0.0290391816102375,0.200137716525826,-0.145095997467775,0.884635078406663,0.944046550125447,ENSG00000176022,Q96L58; Q499Z2,"The enzyme encoded by this intronless gene is a beta-1,3-galactosyltransferase found in the medial Golgi apparatus, where it catalyzes the transfer of galactose from UDP-galactose to substrates containing a terminal beta-linked galactose moiety. The encoded enzyme has a particular affinity for galactose-beta-1,4-xylose found in the linker region of glycosamines. This enzyme is required for glycosaminoglycan synthesis. [provided by RefSeq, Jun 2013]",1,1232237,1235041,2805,1,ALGAZ; EDSP2; EDSSPD2; SEMDJL1; beta3GalT6,BETA3GALT6,64.21,HGNC:17978,615291,CCDS13,R-HSA-1643685; R-HSA-3781865; R-HSA-5668914; R-HSA-1430728; R-HSA-1630316; R-HSA-1638091; R-HSA-71387; R-HSA-1793185; R-HSA-1971475; R-HSA-3560782; R-HSA-4420332,uc285fxe.2,,Fetal kidney|T|Natural killer T (NKT) cell; Kidney|T|B cell; Fetal kidney|N|Natural killer T (NKT) cell; Kidney|N|B cell
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,protein_coding,98.7776981154677,0.0953800454921567,0.144930475100578,0.658108968634548,0.51046811325766,0.696690569561909,ENSG00000160087,Q8N2K1; A6NGS0; D6REN4; D6R9H0; D6RC43; D6RD90; B1AMF1; D6RB84; B1AMF0; D6RA15,"The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is located in the membrane of the endoplasmic reticulum. Multiple alternatively spliced transcript variants have been found for this gene, but the full-length nature of some variants has not been defined. [provided by RefSeq, Jul 2008]",1,1253909,1273864,19956,-1,NCUBE-2; NCUBE2; PRO2121; UBC6,NCUBE2; UBC6P,56.31,HGNC:19268,619756,CCDS14; CCDS16; CCDS15,R-HSA-392499; R-HSA-597592; R-HSA-168256; R-HSA-1280218; R-HSA-983168; R-HSA-983169; R-HSA-9609507; R-HSA-8852135; R-HSA-8866654; R-HSA-9609523,uc001adm.6; uc001adp.5; uc001adq.4; uc001adr.4; uc057bak.1; uc057bal.1; uc001ado.4; uc057bam.1; uc057ban.1; uc057bao.1; uc057bap.1; uc057baq.1; uc057bar.1; uc057bas.1; uc057bat.1; uc057bau.1; uc057bav.1; uc057baw.1; uc057bax.1; uc057bay.1,,Fetal kidney|T|Natural killer T (NKT) cell; Fetal kidney|N|Natural killer T (NKT) cell
